twitter,domain,name,type
Chiapas_FC,chiapasfc.com,Chiapas Jaguar,sports
NYCFC,nycfc.com,New York City FC,sports
Japan_Olympic,joc.or.jp,日本オリンピック委員会（JOC）,sports
Padres,padres.com,San Diego Padres,sports
fcbarcelona_fra,fcbarcelona.fr,FC Barcelona,sports
SoundersFC,soundersfc.com,Seattle Sounders FC,sports
SuperBowl,superbowl.com,Super Bowl,sports
fckoeln,fc-koeln.de,1. FC Köln,sports
RangersFC,rangers.co.uk,Rangers FC,sports
usahockey,usahockey.com,USA Hockey,sports
OfficialWRC,wrc.com,WRC,sports
IRONMANtri,ironman.com,IRONMAN Triathlon,sports
teamnovonordisk,TeamNovoNordisk.com,Team Novo Nordisk,sports
MontpellierHSC,mhscfoot.com,MHSC,sports
LigadeCampeones,es.uefa.com,Liga de Campeones,sports
bayer04fussball,bayer04.de,Bayer 04 Leverkusen,sports
VillarrealCF,villarrealcf.com,Villarreal CF,sports
StadeToulousain,stadetoulousain.fr,Stade Toulousain,sports
BKRacing_2383,bkracing.com,BK Racing,sports
fifamedia,fifa.com,FIFA Media,sports
girondins,girondins.com,FCGirondins Bordeaux,sports
ACBCOM,acb.com,Liga Endesa,sports
IndyCar,indycar.com,IndyCar Series,sports
VfB,vfb.de,VfB Stuttgart,sports
NFLNow,nfl.com,NFL Now,sports
WhitecapsFC,whitecapsfc.com,Vancouver Whitecaps,sports
FEFecuador,ecuafutbol.org,F.E.F.,sports
EuropeanTour,europeantour.com,The European Tour,sports
TheNBPA,nbpa.com,NBPA,sports
Rio2016,rio2016.com,Rio 2016,sports
Sochi2014,sochi2014.com,Sochi 2014,sports
FloridaGators,gatorzone.com,Florida Gators,sports
rbs_6_nations,rbs6nations.com,RBS 6 Nations,sports
NHLCanes,CarolinaHurricanes.com,Carolina Hurricanes,sports
FCBhoquei,fcbarcelona.cat,FCB Hoquei,sports
ultrAslanUNI,ultrAslanUNI.com,ultrAslan UNI,sports
ArizonaCoyotes,ArizonaCoyotes.com,Yotes,sports
sampdoria,sampdoria.it,U.C. Sampdoria,sports
rccelta_oficial,celtavigo.net,RC Celta de Vigo,sports
YankeesPR,yankees.com,Yankees PR Dept.,sports
UA_Athletics,rolltide.com,Alabama Athletics,sports
